,precision,recall,f1-score,support
Normal,0.9954518791815082,0.9959175341906511,0.9956846522424928,117576.0
Attack,0.9191102123356926,0.9106695608615796,0.9148704185188291,5989.0
accuracy,0.9917856998340954,0.9917856998340954,0.9917856998340954,0.9917856998340954
macro avg,0.9572810457586004,0.9532935475261153,0.955277535380661,123565.0
weighted avg,0.9917517194053613,0.9917856998340954,0.9917677142279173,123565.0
